NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE_NO,CUSINE_TYPE,TIMING,RATING_TYPE,RATING,VOTES
Kadak Bhagat,1000,"North Indian,Chinese,Fast Food",Ahmedabad,Prahlad Nagar,https://www.zomato.com/ahmedabad/kadak-bhagat-prahlad-nagar/info,10,Casual Dining,"1130am to 330pm,7pm to 11pm(Mon-Sun)",Excellent,4.6,449
The VJ Cafe,300,Cafe,Ahmedabad,Memnagar,https://www.zomato.com/ahmedabad/the-vj-cafe-memnagar/info,10,Café,"1130am to 1130pm(Mon-Fri),1130am to 12midnight...",Good,3.7,147
Swati Snacks,600,"Fast Food,Street Food,South Indian",Ahmedabad,Ellis Bridge,https://www.zomato.com/ahmedabad/swati-snacks-ellis-bridge/info,10,Quick Bites,12noon to 1045pm(Mon-Sun),Excellent,4.6,1302
The Pizza Dome,400,Pizza,Ahmedabad,Vastrapur,https://www.zomato.com/ahmedabad/the-pizza-dome-vastrapur/info,10,Quick Bites,11am to 2am(Mon-Sun),Good,3.8,174
The Bombay Churros,300,Desserts,Ahmedabad,Bodakdev,https://www.zomato.com/ahmedabad/the-bombay-churros-bodakdev/info,10,Dessert Parlor,"1230pm to 1230AM(Mon,Tue,Wed,Fri,Sat,Sun)...",Very Good,4.3,116
Fix Box,400,North Indian,Ahmedabad,Bopal,https://www.zomato.com/ahmedabad/fix-box-bopal/info,100,Quick Bites,"11am to 3pm,7pm to 11pm(Mon-Sun)",Average,2.9,11
TIFFIN 4 U,250,Gujarati,Ahmedabad,Satellite,https://www.zomato.com/ahmedabad/tiffin-4-u-satellite/info,100,none,10am to 9pm(Mon-Sun),Average,3,10
Munchies,350,"North Indian,Chinese",Ahmedabad,Satellite,https://www.zomato.com/ahmedabad/munchies-satellite/info,100,Quick Bites,"11am to 3pm,7pm to 11pm(Mon-Sun)",Not rated,-,-
Shree Ganesh,150,South Indian,Ahmedabad,C G Road,https://www.zomato.com/ahmedabad/shree-ganesh-c-g-road/info,100,Quick Bites,10am to 10pm(Mon-Sun),Average,3,4
Manju's - The Art of Cooking,500,Bakery,Ahmedabad,Navrangpura,https://www.zomato.com/ahmedabad/manjus-the-art-of-cooking-navrangpura/info,100,Bakery,1030am to 9pm(Mon-Sun),Average,3.2,4
Meal Man,200,Gujarati,Ahmedabad,Thaltej,https://www.zomato.com/ahmedabad/meal-man-thaltej/info,100,none,"6am to 930am,4pm to 6pm(Mon-Sat),Closed(Sun)",Average,3.2,10
Gujju's Tiffin Point,300,"North Indian,Gujarati",Ahmedabad,Chandkheda,https://www.zomato.com/ahmedabad/gujjus-tiffin-point-chandkheda/info,100,Quick Bites,11am to 9pm(Mon-Sun),Average,3.1,11
Unity Cafe,500,North Indian,Ahmedabad,C G Road,https://www.zomato.com/ahmedabad/unity-cafe-c-g-road/info,100,Casual Dining,9am to 11pm(Mon-Sun),Average,3,4
Sugar Bunnies,400,"Bakery,Desserts",Ahmedabad,Navrangpura,https://www.zomato.com/ahmedabad/sugar-bunnies-navrangpura/info,100,Bakery,11am to 10pm(Mon-Sun),Average,3.1,6
Brownie's,300,"Bakery,Fast Food",Ahmedabad,Prahlad Nagar,https://www.zomato.com/ahmedabad/brownies-prahlad-nagar/info,100,Bakery,9am to 11pm(Mon-Sun),Average,2.9,7
Radhe Dinning Hall,500,"Gujarati,North Indian",Ahmedabad,Nikol,https://www.zomato.com/ahmedabad/radhe-dinning-hall-nikol/info,100,Casual Dining,"1030am to 3pm,630pm to 1030pm(Mon-Sun)",Average,2.9,11
Crepes n Coffee,300,Cafe,Ahmedabad,Taste Of Ahmedabad-- Bopal,https://www.zomato.com/ahmedabad/crepes-n-coffee-bopal/info,100,Café,7am to 11pm(Mon-Sun),Average,3.1,8
Sejal's Kitchen,300,"North Indian,Fast Food",Ahmedabad,Satellite,https://www.zomato.com/ahmedabad/sejals-kitchen-satellite/info,100,Quick Bites,830am to 10pm(Mon-Sun),Average,3,7
Prince Snacks,400,"Street Food,Fast Food",Ahmedabad,Mani Nagar,https://www.zomato.com/ahmedabad/prince-snacks-mani-nagar/info,100,Quick Bites,6pm to 11pm(Mon-Sun),Average,3.2,8
Hari Om Dalbati,300,"Rajasthani,North Indian",Ahmedabad,Chandkheda,https://www.zomato.com/ahmedabad/hari-om-dalbati-1-chandkheda/info,100,Quick Bites,"11am to 3pm,7pm to 11pm(Mon-Sun)",Average,3,5
Jay Goga Tiffin Service,300,"Gujarati,Fast Food",Ahmedabad,Astodia,https://www.zomato.com/ahmedabad/jay-goga-tiffin-service-astodia/info,101,none,9am to 11pm(Mon-Sun),Average,3,5
Balan Dosa,400,"South Indian,Sandwich",Ahmedabad,Gulmohar Park-- Satellite,https://www.zomato.com/ahmedabad/balan-dosa-satellite/info,101,Food Court,11am to 11pm(Mon-Sun),None,NEW,NEW
Mehta Cream Centre,100,Mithai,Ahmedabad,Vejalpur,https://www.zomato.com/ahmedabad/mehta-cream-centre-vejalpur/info,101,Sweet Shop,6am to 1030pm(Mon-Sun),Average,3.1,6
Chaat Mahal,150,Street Food,Ahmedabad,Satellite,https://www.zomato.com/chaat-mahal-4-food-truck/info,101,Food Truck,4pm to 11pm(Mon-Sun),Not rated,-,-
Zaika Tandoor,400,"North Indian,Mughlai,Chinese",Ahmedabad,Satellite,https://www.zomato.com/ahmedabad/zaika-tandoor-satellite/info,101,Quick Bites,11am to 11pm(Mon-Sun),Average,2.9,5
Foodella,200,Gujarati,Ahmedabad,Ambavadi,https://www.zomato.com/ahmedabad/foodella-ambavadi/info,101,none,11am to 11pm(Mon-Sun),Average,2.9,8
HB Non Veg Dibba,300,"Fast Food,North Indian,Chinese",Ahmedabad,Sarkhej,https://www.zomato.com/ahmedabad/hb-non-veg-dibba-sarkhej/info,101,none,7am to 11pm(Mon-Sun),Average,3,7
Dipak Bhaji Pav,300,Fast Food,Ahmedabad,Thaltej,https://www.zomato.com/ahmedabad/dipak-bhaji-pav-thaltej/info,101,Quick Bites,1pm to 12midnight(Mon-Sun),Average,3,7
Shri Ashapura Bhojnalay,200,North Indian,Ahmedabad,Memnagar,https://www.zomato.com/ahmedabad/shri-ashapura-bhojnalay-memnagar/info,101,Quick Bites,"11am to 3pm,7pm to 11pm(Mon-Sun)",Average,3.1,10
Gulp,150,Fast Food,Ahmedabad,Sola,https://www.zomato.com/ahmedabad/gulp-sola/info,101,Quick Bites,11am to 11pm(Mon-Sun),Average,3,6
Flora Food,300,"Fast Food,Beverages",Ahmedabad,Mani Nagar,https://www.zomato.com/ahmedabad/flora-food-mani-nagar/info,101,none,11am to 10pm(Mon-Sun),Average,3.1,8
Volga Restaurant,500,"North Indian,South Indian",Ahmedabad,Bhadra,https://www.zomato.com/ahmedabad/volga-restaurant-bhadra/info,101,Casual Dining,"8am to 3pm,7pm to 11pm(Mon-Sun)",Average,2.9,7
Om Sandwich,300,Fast Food,Ahmedabad,Gurukul,https://www.zomato.com/ahmedabad/om-sandwich-gurukul/info,101,Quick Bites,11am to 11pm(Mon-Sun),Average,3.1,10
Params Cafe,300,Fast Food,Ahmedabad,Satellite,https://www.zomato.com/ahmedabad/params-cafe-satellite/info,101,none,9am to 10pm(Mon-Sun),None,NEW,NEW
Iyer'S Kitchen,300,South Indian,Ahmedabad,Bopal,https://www.zomato.com/ahmedabad/iyers-kitchen-1-bopal/info,101,none,830am to 1030pm(Mon-Sun),Average,3,5
Maher GJ 27 Fast Food Center,200,Fast Food,Ahmedabad,Amraiwadi,https://www.zomato.com/ahmedabad/maher-gj-27-fast-food-center-amraiwadi/info,102,Quick Bites,"11am to 2pm,4pm to 10pm(Mon-Sun)",None,NEW,NEW
Bakers Junction,300,Bakery,Ahmedabad,Ghatlodia,https://www.zomato.com/ahmedabad/bakers-junction-ghatlodia/info,102,Bakery,11am to 10pm(Mon-Sun),Average,3.1,5
Ajay Pal Food Centre,200,"North Indian,Gujarati",Ahmedabad,C G Road,https://www.zomato.com/ahmedabad/ajay-pal-food-centre-c-g-road/info,102,Quick Bites,11am to 11pm(Mon-Sun),Not rated,-,-
Shiv Om Food Centre,400,"Gujarati,North Indian",Ahmedabad,Sola,https://www.zomato.com/ahmedabad/shiv-om-food-centre-sola/info,102,Bhojanalya,"11am to 245pm,7pm to 1045pm(Mon-Sun)",Average,3.2,5
U.S. Pizza,400,Pizza,Ahmedabad,Thaltej,https://www.zomato.com/ahmedabad/u-s-pizza-1-thaltej/info,102,Quick Bites,11am to 11pm(Mon-Sun),None,NEW,NEW
Kolkata Biryani,400,"North Indian,Chinese,Biryani",Ahmedabad,Gurukul,https://www.zomato.com/ahmedabad/kolkata-biryani-gurukul/info,102,none,11am to 11pm(Mon-Sun),None,NEW,NEW
Pizza Point,350,"Pizza,Fast Food",Ahmedabad,Memnagar,https://www.zomato.com/ahmedabad/pizza-point-memnagar/info,102,Quick Bites,10am to 10pm(Mon-Sun),Average,3,5
South Land,400,"South Indian,Chinese,North Indian",Ahmedabad,Subhash Bridge,https://www.zomato.com/ahmedabad/south-land-subhash-bridge/info,102,Quick Bites,1030am to 11pm(Mon-Sun),Average,2.9,5
Kells The Chatpata,300,"Fast Food,South Indian,North Indian,Continental",Ahmedabad,Thaltej,https://www.zomato.com/ahmedabad/kells-the-chatpata-thaltej/info,102,Casual Dining,7am to 1030pm(Mon-Sun),Average,2.9,7
Krishna Chinese,400,"South Indian,Chinese,Fast Food",Ahmedabad,Vastral,https://www.zomato.com/ahmedabad/krishna-chinese-vastral/info,102,Quick Bites,10am to 11pm(Mon-Sun),Average,3.1,8
Supper Snacks & Packs,300,"Fast Food,Sandwich",Ahmedabad,Ashram Road,https://www.zomato.com/ahmedabad/supper-snacks-packs-1-ashram-road/info,102,Quick Bites,930am to 730pm(Mon-Sun),Average,3.2,8
Lumbazfoods.com,500,North Indian,Ahmedabad,Prahlad Nagar,https://www.zomato.com/ahmedabad/lumbazfoods-com-prahlad-nagar/info,102,none,"9am to 230pm,7pm to 10pm(Mon-Sun)",Not rated,-,-
Pramukh Dosa Cafe,300,South Indian,Ahmedabad,Naranpura,https://www.zomato.com/ahmedabad/pramukh-dosa-cafe-naranpura/info,102,Quick Bites,830am to 3pm(Mon-Sun),Average,3.1,8
The BRC Cakes,400,Bakery,Ahmedabad,Thaltej,https://www.zomato.com/ahmedabad/the-brc-cakes-thaltej/info,102,Bakery,11am to 9pm(Mon-Sun),Not rated,-,-
South Dosa,300,South Indian,Ahmedabad,Gota,https://www.zomato.com/ahmedabad/south-dosa-gota/info,102,Quick Bites,7am to 11pm(Mon-Sun),Average,3,8
Jay Hind Bhajiya,350,"Fast Food,Street Food",Ahmedabad,Satellite,https://www.zomato.com/ahmedabad/jay-hind-bhajiya-satellite/info,103,Quick Bites,11am to 11pm(Mon-Sun),Average,3,5
The Clay Oven,600,"North Indian,Mughlai",Ahmedabad,Adalaj,https://www.zomato.com/ahmedabad/the-clay-oven-adalaj/info,103,Casual Dining,11am to 11pm(Mon-Sun),Not rated,-,-
Smokiez BBQ,400,"BBQ,Fast Food",Ahmedabad,The Spicy Street Road-- Airport Gandhinagar Highway,https://www.zomato.com/ahmedabad/smokiez-bbq-airport-gandhinagar-highway-gandhinagar/info,103,Food Court,430pm to 11pm(Mon-Sun),Average,3.1,5
The Food Story,300,Fast Food,Ahmedabad,Satellite,https://www.zomato.com/ahmedabad/the-food-story-satellite/info,103,Quick Bites,11am to 11pm(Mon-Sun),Average,3.1,5
Vadilal Scoop Shop,250,"Ice Cream,Beverages",Ahmedabad,Ghatlodia,https://www.zomato.com/ahmedabad/vadilal-scoop-shop-ghatlodia/info,103,Dessert Parlor,12noon to 11pm(Mon-Sun),Average,2.9,6
Hobby Cook,500,"North Indian,Gujarati",Ahmedabad,Prahlad Nagar,https://www.zomato.com/ahmedabad/hobby-cook-prahlad-nagar/info,103,none,11am to 8pm(Mon-Sun),Average,3.2,4
Hotel Bait Inn,600,North Indian,Ahmedabad,Ashram Road,https://www.zomato.com/ahmedabad/hotel-bait-inn-ashram-road/info,103,Casual Dining,"11am to 3pm,7pm to 11pm(Mon-Sun)",Not rated,-,-
The Nine,1200,"Asian,North Indian,South Indian,Italian",Ahmedabad,Bodakdev,https://www.zomato.com/ahmedabad/the-nine-bodakdev/info,103,Casual Dining,"12noon to 3pm,7pm to 11pm(Mon-Sun)",Not rated,-,-
Punjab Sweets,500,"Fast Food,Mithai",Ahmedabad,Ghatlodia,https://www.zomato.com/ahmedabad/punjab-sweets-1-ghatlodia/info,103,Quick Bites,"11am to 3pm,7pm to 11pm(Mon-Sun)",None,NEW,NEW
Sankalp,700,"South Indian,North Indian",Ahmedabad,Vastral,https://www.zomato.com/ahmedabad/sankalp-vastral/info,103,Casual Dining,11am to 11pm(Mon-Sun),Average,3.1,7
Havmor Fun Flavours,200,"Ice Cream,Desserts",Ahmedabad,Mani Nagar,https://www.zomato.com/ahmedabad/havmor-fun-flavours-mani-nagar/info,103,Dessert Parlor,11am to 11pm(Mon-Sun),None,NEW,NEW
Foodwoodz,450,"Beverages,Street Food,Fast Food",Ahmedabad,Gota,https://www.zomato.com/ahmedabad/foodwoodz-gota/info,103,Quick Bites,10am to 10pm(Mon-Sun),Average,3.1,4
Swaad Kathiyawadi Thali,200,Gujarati,Ahmedabad,Gota,https://www.zomato.com/ahmedabad/swaad-kathiyawadi-thali-gota/info,103,Quick Bites,"11am to 230pm,7pm to 11pm(Mon-Sun)",Average,2.9,6
KP's Food Junction,250,Fast Food,Ahmedabad,Sola,https://www.zomato.com/ahmedabad/kps-food-junction-sola/info,103,Quick Bites,11am to 11pm(Mon-Sun),Not rated,-,-
Lucknowi Veg and Non- veg,450,"Biryani,North Indian",Ahmedabad,Bopal,https://www.zomato.com/ahmedabad/lucknowi-veg-and-non-veg-bopal/info,103,none,6pm to 9pm(Mon-Sun),Average,2.9,7
Western Delights,400,"Chinese,Mexican,North Indian,Italian",Ahmedabad,Satellite,https://www.zomato.com/ahmedabad/western-delights-satellite/info,104,Quick Bites,11am to 11pm(Mon-Sun),Average,3.1,7
Prabhu Restaurant,250,Gujarati,Ahmedabad,Satellite,https://www.zomato.com/ahmedabad/prabhu-restaurant-satellite/info,104,Casual Dining,830am to 330pm(Mon-Sun),Average,3,4
J P Foodlers,200,Fast Food,Ahmedabad,Bodakdev,https://www.zomato.com/ahmedabad/j-p-foodlers-bodakdev/info,104,Quick Bites,11am to 11pm(Mon-Sun),Not rated,-,-
Madras Cafey,150,South Indian,Ahmedabad,Vejalpur,https://www.zomato.com/ahmedabad/madras-cafey-vejalpur/info,104,Quick Bites,"8am to 3pm,6pm to 11pm(Mon-Sun)",Not rated,-,-
Shree Shivam Fastfood and snacks,150,Fast Food,Ahmedabad,Hansol,https://www.zomato.com/ahmedabad/shree-shivam-fastfood-and-snacks-hansol/info,104,Quick Bites,8am to 1030pm(Mon-Sun),Average,3.1,7
Midnight bhukhaads,300,Fast Food,Ahmedabad,Satellite,https://www.zomato.com/ahmedabad/midnight-bhukhaads-satellite/info,104,none,"Closed(Mon,Tue,Wed,Thu,Fri,Sun),10am to 3am...",Average,3.1,5
Star Restaurant,300,"North Indian,South Indian",Ahmedabad,Relief Road,https://www.zomato.com/ahmedabad/star-restaurant-relief-road/info,104,Quick Bites,9am to 11pm(Mon-Sun),Average,3.1,6
Kabir Gujarati Dining & Fast Food,550,"Gujarati,South Indian,Fast Food",Ahmedabad,Thaltej,https://www.zomato.com/ahmedabad/kabir-gujarati-dining-fast-food-thaltej/info,104,Quick Bites,830am to 11pm(Mon-Sun),Not rated,-,-
New Karnavati Dabeli,200,Fast Food,Ahmedabad,Mani Nagar,https://www.zomato.com/ahmedabad/new-karnavati-dabeli-mani-nagar/info,104,Quick Bites,10am to 10pm(Mon-Sun),Not rated,-,-
Alpha Nutri Meals,400,Healthy Food,Ahmedabad,Gurukul,https://www.zomato.com/ahmedabad/alpha-nutri-meals-gurukul/info,104,none,11am to 10pm(Mon-Sun),Average,2.9,4
Brown Burger Co,500,Burger,Ahmedabad,Bopal,https://www.zomato.com/ahmedabad/brown-burger-co-bopal/info,104,Quick Bites,11am to 11pm(Mon-Sun),Average,3,5
NIMS kitchen,200,"Biryani,North Indian,Sandwich,Beverages",Ahmedabad,Mani Nagar,https://www.zomato.com/ahmedabad/nims-kitchen-mani-nagar/info,104,none,11am to 11pm(Mon-Sun),Not rated,-,-
Burger Singha,400,Fast Food,Ahmedabad,Chandkheda,https://www.zomato.com/ahmedabad/burger-singha-chandkheda/info,104,Quick Bites,7pm to 11pm(Mon-Sun),Average,3,7
Chalo Jamiye,500,"Gujarati,South Indian",Ahmedabad,Vastral,https://www.zomato.com/ahmedabad/chalo-jamiye-vastral/info,104,Casual Dining,"11am to 3pm,7pm to 1030pm(Mon-Sun)",None,NEW,NEW
Chicken Xpress,300,North Indian,Ahmedabad,Prahlad Nagar,https://www.zomato.com/ahmedabad/chicken-xpress-prahlad-nagar/info,104,none,11am to 11pm(Mon-Sun),Average,3,5
Bobby's Snacks,250,Fast Food,Ahmedabad,Vastrapur,https://www.zomato.com/ahmedabad/bobbys-snacks-vastrapur/info,105,Quick Bites,1030am to 10pm(Mon-Sun),Not rated,-,-
Kalyan Poha centre,150,"South Indian,Fast Food",Ahmedabad,Bodakdev,https://www.zomato.com/ahmedabad/kalyan-poha-centre-bodakdev/info,105,Quick Bites,8am to 4pm(Mon-Sun),None,NEW,NEW
Maysoor,300,"North Indian,South Indian,Chinese",Ahmedabad,Sector 16-- Gandhinagar,https://www.zomato.com/ahmedabad/maysoor-sector-16-gandhinagar/info,105,Quick Bites,11am to 11pm(Mon-Sun),Not rated,-,-
Jai Shree Vishwakarma,300,South Indian,Ahmedabad,Chandkheda,https://www.zomato.com/ahmedabad/jai-shree-vishwakarma-chandkheda/info,105,Quick Bites,5pm to 11pm(Mon-Sun),Average,2.9,4
Spoon And Spice,400,North Indian,Ahmedabad,Gota,https://www.zomato.com/ahmedabad/spoon-and-spice-gota/info,105,Quick Bites,"11am to 3pm,6pm to 11pm(Mon-Sun)",None,NEW,NEW
Famous Biryani,200,Biryani,Ahmedabad,Jamalpur,https://www.zomato.com/ahmedabad/famous-biryani-jamalpur/info,105,Quick Bites,"10am to 3pm(Mon,Tue,Thu,Sat),10am to 11pm...",Average,3,5
New Prince Bhajipav & Chinese,250,"Street Food,Chinese,South Indian",Ahmedabad,Sola,https://www.zomato.com/ahmedabad/new-prince-bhajipav-chinese-sola/info,105,Quick Bites,6pm to 11pm(Mon-Sun),Not rated,-,-
The M.J Cafe 2,400,Cafe,Ahmedabad,Naranpura,https://www.zomato.com/ahmedabad/the-m-j-cafe-2-naranpura/info,105,Café,11am to 11pm(Mon-Sun),Not rated,-,-
Tadka Restaurant,500,"North Indian,Gujarati",Ahmedabad,Chandkheda,https://www.zomato.com/ahmedabad/tadka-restaurant-1-chandkheda/info,105,Casual Dining,"11am to 3pm,6pm to 11pm(Mon-Sun)",Not rated,-,-
Hari Om Foods,250,"North Indian,Gujarati",Ahmedabad,Sola,https://www.zomato.com/ahmedabad/hari-om-foods-sola/info,105,Quick Bites,"11am to 3pm,7pm to 11pm(Mon-Sun)",Average,2.9,6
Lazeez Dum Biryani,350,Biryani,Ahmedabad,Infocity,https://www.zomato.com/ahmedabad/lazeez-dum-biryani-infocity-gandhinagar/info,105,Quick Bites,"11am to 3pm,7pm to 11pm(Mon-Sun)",Average,2.9,5
Ten 11 Kitchen,500,North Indian,Ahmedabad,Satellite,https://www.zomato.com/ahmedabad/ten-11-kitchen-satellite/info,105,Quick Bites,9am to 11pm(Mon-Sun),Not rated,-,-
Gujarat Fast Food,150,"Gujarati,Fast Food",Ahmedabad,Relief Road,https://www.zomato.com/ahmedabad/gujarat-fast-food-relief-road/info,105,Quick Bites,730am to 11pm(Mon-Sun),Average,3,6
Mamma Mia,250,Fast Food,Ahmedabad,Thaltej,https://www.zomato.com/ahmedabad/mamma-mia-thaltej/info,105,Quick Bites,11am to 11pm(Mon-Sun),Not rated,-,-
Chef's Kitchen,400,"North Indian,Chinese,Street Food",Ahmedabad,Tamu Chakula-- Thaltej,https://www.zomato.com/ahmedabad/chefs-kitchen-thaltej/info,105,Quick Bites,7pm to 11pm(Mon-Sun),Not rated,-,-
Canteen,600,"Cafe,Fast Food,Healthy Food,Tea",Ahmedabad,Satellite,https://www.zomato.com/ahmedabad/canteen-satellite/info,106,Café,10am to 730pm(Mon-Sun),Average,3.1,5
Chai Zone,300,Fast Food,Ahmedabad,Satellite,https://www.zomato.com/ahmedabad/chai-zone-satellite/info,106,Quick Bites,"9am to 8pm(Mon-Sat),Closed(Sun)",Not rated,-,-
Any Time Munching,200,Fast Food,Ahmedabad,Paldi,https://www.zomato.com/ahmedabad/any-time-munching-paldi/info,106,none,12midnight to 4am(Mon-Sun),Average,3.1,7
Song Bird,500,"North Indian,South Indian,Fast Food",Ahmedabad,Sarkhej,https://www.zomato.com/ahmedabad/song-bird-sarkhej/info,106,Casual Dining,7am to 11pm(Mon-Sun),Not rated,-,-
Fudam Bhavah,300,"Gujarati,Fast Food",Ahmedabad,Vastrapur,https://www.zomato.com/ahmedabad/fudam-bhavah-vastrapur/info,106,none,11am to 11pm(Mon-Sun),Average,2.9,4
Arrow Cafe,500,"Cafe,Fast Food",Ahmedabad,Bopal,https://www.zomato.com/ahmedabad/arrow-cafe-bopal/info,106,Café,11am to 11pm(Mon-Sun),None,NEW,NEW
DS The Metro Cafe,200,Fast Food,Ahmedabad,Ashram Road,https://www.zomato.com/ahmedabad/ds-the-metro-cafe-ashram-road/info,106,Quick Bites,11am to 11pm(Mon-Sun),Not rated,-,-
Ratan Polewala Maharja,250,Street Food,Ahmedabad,Naranpura,https://www.zomato.com/ahmedabad/ratan-polewala-maharja-naranpura/info,106,Quick Bites,7am to 9pm(Mon-Sun),Average,3.1,4
