,name,address,phone,online_order,rest_type,cuisines,listed_in(type),book_table,rate,approx_cost(for two people),menu_item,listed_in(city)
10,'Brahmins' Thatte Idli,"19, 1st main, 2nd cross, 3rd stage, 3rd block, Basaveshwara Nagar, Bangalore","+91 9148013543
+91 9902102665",Yes,Quick Bites,South Indian,Dine-out,No,,100,"['Masala Dosa', 'Set Dosa', 'Shavige Bhath', 'Puliyogare', 'Chow Chow Bath Combo', 'Khara Bhath and Vada Combo', 'Shavige Bhath and Vada Combo', 'Puliogare and Vada Combo', 'Kesari Bhath', 'Khara Bhath', 'Shavige Bhath', 'Puliyogare', 'Thatte Idli', 'Uddina Vada', 'Masala Dosa', 'Set Dosa']",Rajajinagar
11,1 Fahreheit,"Nishika Arcade, Nanjappa Main Road, Next to Jodidhars Club, Vidyaranyapura, Bengalore",+91 8095700987,No,Dessert Parlor,"Desserts, Ice Cream",Desserts,No,,200,[],New BEL Road
12,1000 B.C,"16, 17th A Main, Koramangala 5th Block, Bangalore",+91 9620946663,Yes,Quick Bites,"Arabian, Sandwich, Rolls, Burger",Delivery,No,3.2/5,300,[],BTM
13,100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C,"688, Thanish Corner, 7th Main, 10th Cross, 2nd Phase, BTM, Bangalore",+91 9535433735,No,Casual Dining,"Biryani, North Indian",Dine-out,No,3.7/5,450,[],BTM
14,11 to 11 Express Biriyanis,"Near Velankani Bus Stop, Electroniccity Phase Doddathogur, Electronic City, Bangalore",+91 9148533399,Yes,Quick Bites,"Biryani, Kebab",Delivery,No,3.5/5,300,[],Electronic City
15,11 to 11 Express Biriyanis,"Near Velankani Bus Stop, Electroniccity Phase Doddathogur, Electronic City, Bangalore",+91 9148533399,Yes,Quick Bites,"Biryani, Kebab",Dine-out,No,3.5/5,300,[],Electronic City
16,1131 Bar + Kitchen,"100 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore",080 49652166,No,"Bar, Casual Dining","Continental, Asian, Italian, North Indian",Dine-out,Yes,4.6/5,"1,500",[],Indiranagar
17,1131 Bar + Kitchen,"100 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore",080 49652166,No,"Bar, Casual Dining","Continental, Asian, Italian, North Indian",Drinks & nightlife,Yes,4.6/5,"1,500",[],Indiranagar
18,1131 Bar + Kitchen,"100 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore",080 49652166,No,"Bar, Casual Dining","Continental, Asian, Italian, North Indian",Pubs and bars,Yes,4.6/5,"1,500",[],Indiranagar
19,12th Main - Grand Mercure,"Grand Mercure, 12th Main, 3rd Block, Koramangala 3rd Block, Bangalore","080 45121638
080 45121212",No,Fine Dining,"European, Asian",Buffet,Yes,4.1 /5,"2,000",[],Koramangala 7th Block
20,12th Main - Grand Mercure,"Grand Mercure, 12th Main, 3rd Block, Koramangala 3rd Block, Bangalore","080 45121638
080 45121212",No,Fine Dining,"European, Asian",Dine-out,Yes,4.1 /5,"2,000",[],Koramangala 6th Block
21,12th Main - Grand Mercure,"Grand Mercure, 12th Main, 3rd Block, Koramangala 3rd Block, Bangalore","080 45121638
080 45121212",No,Fine Dining,"European, Asian",Buffet,Yes,4.1/5,"2,000",[],BTM
22,12th Main - Grand Mercure,"Grand Mercure, 12th Main, 3rd Block, Koramangala 3rd Block, Bangalore","080 45121638
080 45121212",No,Fine Dining,"European, Asian",Dine-out,Yes,4.1 /5,"2,000",[],Koramangala 5th Block
23,12th Main - Grand Mercure,"Grand Mercure, 12th Main, 3rd Block, Koramangala 3rd Block, Bangalore","080 45121638
080 45121212",No,Fine Dining,"European, Asian",Dine-out,Yes,4.1/5,"2,000",[],BTM
24,12th Main - Grand Mercure,"Grand Mercure, 12th Main, 3rd Block, Koramangala 3rd Block, Bangalore","080 45121638
080 45121212",No,Fine Dining,"European, Asian",Dine-out,Yes,4.1 /5,"2,000",[],Koramangala 4th Block
25,1441 Pizzeria,"1105, Archana Arcade, 24th Main, 1st Phase, JP Nagar, Bangalore","+91 9513221441
080 41221441",Yes,Casual Dining,"Pizza, Salad",Delivery,No,4.1/5,800,"[""Krish's Pizza [11 inches]"", ""Krish's Pizza [8 inches]"", 'Smoked Chicken Pizza [11 inches]', 'BBQ Chicken Pizza [11 inches]', 'Cheese Burst Calzone', 'Margherita Pizza [8 inches]', 'Margherita Pizza [11 inches]', 'Gourmet Make Your Own Veg Pizza [8 inches]', 'Gourmet Make Your Own Veg Pizza [11 inches]', 'Nutella Pizza', ""Krish's Pizza [11 inches]"", ""Krish's Pizza [8 inches]"", 'Smoked Chicken Pizza [11 inches]', 'BBQ Chicken Pizza [11 inches]', 'Smoked Chicken Pizza [8 inches]', 'BBQ Chicken Pizza [8 inches]', 'Paneer Tikka Pizza', 'Fiama Pizza', 'Jalapeno Poppers', 'Smoky Cheese Dough Ball', 'Chilli Cheese Bread', 'Roasted Potatoes', 'BBQ Chicken Wings', 'Cheese Burst Calzone', 'Margherita Pizza [8 inches]', 'Margherita Pizza [11 inches]', 'Make Your Own Veg Pizza [8 inches]', 'Make Your Own Veg Pizza [11 inches]', 'Gourmet Make Your Own Veg Pizza [8 inches]', 'Gourmet Make Your Own Veg Pizza [11 inches]', 'Gourmet Make Your Own Non Veg Pizza [8 inches]', 'Gourmet Make Your Own Non Veg Pizza [11 inches]', 'Tiramisu', 'Chocolate Mousse', 'Chocolate Dough Balls', 'Nutella Pizza', 'Sprite [Can]', 'Fanta [Can]', 'Coke', 'Diet Coke']",Jayanagar
26,1441 Pizzeria,"1105, Archana Arcade, 24th Main, 1st Phase, JP Nagar, Bangalore","+91 9513221441
080 41221441",Yes,Casual Dining,"Pizza, Salad",Dine-out,No,4.1/5,800,"[""Krish's Pizza [11 inches]"", ""Krish's Pizza [8 inches]"", 'Smoked Chicken Pizza [11 inches]', 'BBQ Chicken Pizza [11 inches]', 'Smoked Chicken Pizza [8 inches]', 'Cheese Burst Calzone', 'Margherita Pizza [8 inches]', 'Margherita Pizza [11 inches]', 'Gourmet Make Your Own Veg Pizza [8 inches]', 'Gourmet Make Your Own Veg Pizza [11 inches]', ""Krish's Pizza [11 inches]"", ""Krish's Pizza [8 inches]"", 'Smoked Chicken Pizza [11 inches]', 'BBQ Chicken Pizza [11 inches]', 'Smoked Chicken Pizza [8 inches]', 'BBQ Chicken Pizza [8 inches]', 'Paneer Tikka Pizza', 'Fiama Pizza', 'Jalapeno Poppers', 'Smoky Cheese Dough Ball', 'Chilli Cheese Bread', 'Roasted Potatoes', 'BBQ Chicken Wings', 'Cheese Burst Calzone', 'Margherita Pizza [8 inches]', 'Margherita Pizza [11 inches]', 'Make Your Own Veg Pizza [8 inches]', 'Make Your Own Veg Pizza [11 inches]', 'Gourmet Make Your Own Veg Pizza [8 inches]', 'Gourmet Make Your Own Veg Pizza [11 inches]', 'Gourmet Make Your Own Non Veg Pizza [8 inches]', 'Gourmet Make Your Own Non Veg Pizza [11 inches]', 'Tiramisu', 'Chocolate Mousse', 'Nutella Dough Balls', 'Nutella Pizza', 'Sprite [Can]', 'Fanta [Can]', 'Coke', 'Diet Coke']",Jayanagar
27,1441 Pizzeria,"1105, Archana Arcade, 24th Main, 1st Phase, JP Nagar, Bangalore",00 919008732090,Yes,Casual Dining,"Pizza, Salad",Delivery,No,4.1/5,800,[],Basavanagudi
28,1522 - The Pub,"1522, 17th Cross, Malleshwaram, Bangalore","+91 9986351522
+91 9686587469",Yes,Pub,"Chinese, Continental, North Indian",Delivery,No,4.2 /5,"1,400",[],Malleshwaram
29,1522 - The Pub,"1522, 17th Cross, Malleshwaram, Bangalore","+91 9986351522
+91 9686587469",Yes,Pub,"Chinese, Continental, North Indian",Dine-out,No,4.2 /5,"1,400","['Mutton Nalli', 'Chicken Biryani', 'Lasooni Chicken Tikka', 'French Chicken', 'Chilli Chicken', 'Chicken Diana', 'Hot N Sour Soup', 'Sweet Corn Soup', 'Tom Yum Soup', 'Cream of Spinach Soup', 'Tomato Soup', 'Manchow Soup', 'Chicken Hot N Sour Soup', 'Chicken Sweet Corn Soup', 'Chicken Tom Yum Soup', 'Chicken Manchow Soup', 'Veg Hawaian Salad', 'German Peanut Salad', 'Cucumber Salad', 'Green Salad', 'Corn Salad', 'Chicken Garlic Salad', 'Italian Chicken Salad', 'Veg Sheekh Kabab', 'Paneer Tikka', 'Mushroom Tikka', 'Tandoori Gobi', 'Tandoori Aloo', 'Veg Platter', 'Stuffed Paneer Kabab', 'Adrak Kabab', 'Lasooni Chicken Tikka', 'Chicken Platter', 'Chicken Sheek Kabab', 'Tandoori Chicken', 'Kalmi Kabab [2 Pieces]', 'Tandoor Platter', 'Hari Mirchi Kabab', 'Malai Kabab', 'Tukda Kabab', 'Pahadi Kabab', 'Khasta Kabab', 'Kasturi Kabab', 'Tangdi Kabab', 'Sizzling Tandoor', 'Fish Tikka', 'Veg Fingers', 'French Fries', 'Sesame Veg', 'Peanut Masala', 'Papad 2', 'Gobi Chilli', 'Gobi 65', 'Gobi Manchurian', 'Mixed Veg Lemon', 'Mixed Veg Pudina', 'Mixed Veg 65', 'American Spicy Corn', 'Potato Basket', 'Baby Corn Pepper Dry', 'Mushroom Pepper Dry', 'Cheese Corn Ball', 'French Paneer', 'Spinach Baby Corn', 'Veg Dragon Roll', 'Aloo Jeera Fry', 'Cashews', 'Egg Pepper Dry', 'French Egg', 'Egg Masala Fry', 'Diced Chilly Chicken', 'Spinach Chicken', 'Chicken Sixer', 'Special Chicken Lollypop', 'Stir Fried Chicken', 'Chicken Lollypop', 'Tawa Chicken', 'Threaded Chicken', 'Mangolian Chicken', 'Devil Chicken', 'French Chicken', 'Spinach Chicken', 'Chicken Mint and Pepper Dry', 'American Spicy Corn', 'Paneer Chilli', 'Paneer Manchurian', 'Mushroom Pepper', 'Mushroom Chilli', 'Mushroom Manchurian', 'Baby Corn Chilli', 'Baby Corn Manchurian', 'Bhurji Pav', 'Chilli Chicken', 'Chicken Hot Pepper Dry', 'Chicken Manchurian', 'French Chicken', 'Chicken 65', 'Fish Kabab', 'Fish Chilli', 'Keema Pav', 'Chilli Cheese Cauliflower', 'Devil Paneer', 'Spinach Baby Corn', 'Veg Dragon Roll', 'Coriander Chicken', 'Chicken Dragon Roll', 'Apollo Chicken', 'Salt n Pepper Chicken', 'Dragon Chicken', 'Thai Chicken Strips', 'Veg Momos', 'Potato Basket', 'Cheese Corn Balls', 'Chilli Cheese Toast', 'Cheese Garlic Bread', 'BBQ Mushroom', 'Cheese Cherry Pineapple', 'Cheese Fingers', 'Bistro Chicken', 'Wet Chicken', 'Country Beer Chicken', 'Broccoli Chicken', 'Country Green Chicken', 'Chicken Cheese Corn Ball', 'Crunchy Chicken', 'BBQ Chicken', 'BBQ Chicken Wings', 'Chilli Flake Chicken', 'Grilled Chicken', 'Burger Chicken', 'Chicken Momos', 'Fish Finger', 'Veg Kalimirch', 'Hari Makai Subzi', 'Veg Jaipuria', 'Dum Ka Kumbh', 'Dingri Matar', 'Diwani Handi', 'Veg Kolhapuri', 'Paneer Butter Masala', 'Mushroom Masala', 'Plain Palak', 'Palak Paneer', 'Palak Cream Corn', 'Dal Fry', 'Murgh Chatpata', 'Handi Murgh', 'Chicken Kadai', 'Chicken Kolhapuri', 'Chicken Hyderabadi', 'Chicken Masala', 'Dum ka Murgh', 'Murgh Saagwala', 'Kalmi Masala', 'Murgh Makhani', 'Mutton Rogan Josh', 'Mongolian Paneer', ""Mushroom O'Reilly"", ""Devil's Chicken"", 'Sesame Chicken', 'Mongolian Chicken', 'Shutter Fried Chicken', 'Mutton Nalli', 'Mutton Ghee Roast', 'Lamb Fry', 'Lamb Chilli', 'Shutter Fried Lamb', 'London Fish N Chips', 'Sannas', 'Egg Masala Fry', 'Egg Ghee Roast', 'Chicken Ghee Roast', 'Chicken Sukka', 'Mangalore Kori Rotti', 'Mutton Gassi', 'Butter Garlic Fish', 'Squid Ghee Roast', 'Squid Sukka', 'Squid Masala Fry', 'Roti', 'Naan', 'Kulcha', 'Paratha', 'Butter Naan', 'Rumali', 'Veg Biryani', 'Jeera Rice', 'Dal Khichdi', 'Palak Rice', 'Egg Biryani', 'Chicken Biryani', 'Mutton Biryani', 'Shanghai Veg Fried Rice', 'Veg Schezwan Fried Rice', 'Veg Triple Schezwan Fried Rice', 'Veg American Chopsuey', 'Veg Noodles', 'Egg Fried Rice', 'Egg Noodles', 'Chicken Triple Schezwan Fried Rice', 'Chicken Schezwan Fried Rice', 'Chicken Fried Rice', 'Chicken American Chopsuey', 'Chicken Noodles', 'Shanghai Chicken Fried Rice', 'Mixed Fried Rice', 'Paneer Roll', 'Spring Roll', 'Egg Roll', 'Chicken Roll', 'Veg Sandwich', 'Veg Cheese Sandwich', 'Grilled Veg Sandwich', 'Cottage Cheese Spicy Grilled Sandwich', 'Egg Sandwich', 'Egg Cheese Sandwich', 'Grilled Egg Sandwich', 'Chicken Sandwich', 'Grilled Chicken Sandwich', 'Chicken Club Sandwich', 'Chicken Hot Dog Cheese Sandwich', 'Chicken Triple Sandwich', 'Minced Chicken in Schezwan Sauce', 'Chicken in Hot N Garlic Sauce', 'Sweet N Sour Chicken', 'Hunan Chicken', 'Shanghai Chicken Dry', 'Veg Royal White Sauce', 'Veg Mixed Sauce Pasta', '1522 Special Veg Pasta', 'Tangy Spicy Chicken Red Pasta', 'Royal White Sauce Chicken Pasta', 'Chicken Mixed Sauce Pasta', '1522 Special Chicken Pasta', 'Kinley Soda', 'Mineral Water [1 litre]', 'Diet Coke', 'Red Bull', 'Cindrella', 'Thai Sunset', 'Virgin Pinacolada', 'Mango Boom', 'Island Boat', 'Mexican Night', 'Fruit Punch']",Malleshwaram
30,1522 - The Pub,"1522, 17th Cross, Malleshwaram, Bangalore","+91 9986351522
+91 9686587469",Yes,Pub,"Chinese, Continental, North Indian",Drinks & nightlife,No,4.2 /5,"1,400",[],Malleshwaram
31,1522 - The Pub,"1522, 17th Cross, Malleshwaram, Bangalore","+91 9986351522
+91 9686587469",Yes,Pub,"Chinese, Continental, North Indian",Pubs and bars,No,4.2 /5,"1,400",[],Malleshwaram
32,1522 - The Pub,"23, 3rd Floor, Devaraja Arcade, Beside ICICI Bank, ITI Layout, MSR Nagar, New BEL Road, Bangalore","+91 7899321522
+91 9148424649",No,Pub,"Chinese, Continental, North Indian",Dine-out,No,4.3 /5,"1,400",[],New BEL Road
33,1522 - The Pub,"23, 3rd Floor, Devaraja Arcade, Beside ICICI Bank, ITI Layout, MSR Nagar, New BEL Road, Bangalore","+91 7899321522
+91 9148424649",No,Pub,"Chinese, Continental, North Indian",Drinks & nightlife,No,4.3 /5,"1,400",[],New BEL Road
34,1522 - The Pub,"23, 3rd Floor, Devaraja Arcade, Beside ICICI Bank, ITI Layout, MSR Nagar, New BEL Road, Bangalore","+91 7899321522
+91 9148424649",No,Pub,"Chinese, Continental, North Indian",Pubs and bars,No,4.3 /5,"1,400",[],New BEL Road
35,1522 - The Pub,"3, 80 Feet Road, 4-C Block, Koramangala 4th Block, Bangalore","+91 9980985527
+91 9481451597",No,Pub,"Chinese, Continental, North Indian",Delivery,Yes,4.2 /5,"1,400",[],Koramangala 7th Block
36,1522 - The Pub,"3, 80 Feet Road, 4-C Block, Koramangala 4th Block, Bangalore","+91 9980985527
+91 9481451597",No,Pub,"Chinese, Continental, North Indian",Dine-out,Yes,4.2 /5,"1,400",[],Koramangala 7th Block
37,1522 - The Pub,"3, 80 Feet Road, 4-C Block, Koramangala 4th Block, Bangalore","+91 9980985527
+91 9481451597",No,Pub,"Chinese, Continental, North Indian",Delivery,Yes,4.2/5,"1,400",[],Koramangala 4th Block
38,1522 - The Pub,"3, 80 Feet Road, 4-C Block, Koramangala 4th Block, Bangalore",080 49652895,No,Pub,"Chinese, Continental, North Indian",Delivery,Yes,4.2 /5,"1,400",[],Koramangala 5th Block
39,1522 - The Pub,"3, 80 Feet Road, 4-C Block, Koramangala 4th Block, Bangalore",080 49652895,No,Pub,"Chinese, Continental, North Indian",Dine-out,Yes,4.2 /5,"1,400",[],Koramangala 4th Block
40,1522 - The Pub,"3, 80 Feet Road, 4-C Block, Koramangala 4th Block, Bangalore",080 49652895,No,Pub,"Chinese, Continental, North Indian",Drinks & nightlife,Yes,4.2 /5,"1,400",[],Koramangala 4th Block
41,1522 - The Pub,"3, 80 Feet Road, 4-C Block, Koramangala 4th Block, Bangalore",080 49652895,No,Pub,"Chinese, Continental, North Indian",Pubs and bars,Yes,4.2 /5,"1,400",[],Koramangala 5th Block
42,154 Breakfast Club,"154, 8th Main Road, 3rd Block, Koramangala 3rd Block, Bangalore",080 25533133,Yes,Cafe,"Cafe, Continental",Cafes,Yes,4.0/5,900,[],BTM
43,154 Breakfast Club,"154, 8th Main Road, 3rd Block, Koramangala 3rd Block, Bangalore",080 25533133,Yes,Cafe,"Cafe, Continental",Delivery,Yes,4.0/5,900,[],BTM
44,154 Breakfast Club,"154, 8th Main Road, 3rd Block, Koramangala 3rd Block, Bangalore",080 25533133,Yes,Cafe,"Cafe, Continental",Dine-out,Yes,4.0/5,900,[],BTM
45,1722 Urban Bistro,"AJ Inc, 126, Ground Floor, KHB Colony, Koramangala 5th Block, Bangalore","080 43714030
+91 8151979797",Yes,Casual Dining,"North Indian, Chinese, Fast Food, Biryani",Delivery,Yes,4.1 /5,600,"['French Fries with Mayonnaise', 'UB Club Chicken Sandwich', 'Mini Chicken Burger', 'Classic Chicken Burger', 'Chicken Pasta in Alfredo Sauce', 'Veg Schezwan Fried Rice', 'Chicken Hakka Noodles', 'Chicken Lollipop', 'Chilli Chicken Gravy', 'Golden Fried Baby Corn', 'Chicken Lollipop', 'Back Water Curry Leaf Flavored Chicken', 'Crispy Fried Chicken', 'Honey Garlic Chicken Strips', 'Kerala Chilli Chicken', 'Crispy Fried Prawns', 'Masala Fried Prawns', 'Chicken Steak', 'Mexican Steak', 'Chilli Chicken Gravy', 'Malabar Chicken Curry', 'Malabar Prawns Curry', 'Phulka', 'Aloo Paratha', 'Ceylon Parotta', 'Kerala Parotta', 'Steamed Rice', 'Jeera Rice', 'Ghee Rice', 'Veg Fried Rice', 'Veg Schezwan Fried Rice', 'Chicken Fried Rice', 'Schezwan Chicken Fried Rice', 'Mixed Fried Rice', 'Veg Hakka Noodles', 'Veg Schezwan Noodles', 'Chicken Hakka Noodles', 'Schezwan Chicken Noodles', 'Mixed Noodles', 'Margherita Pizza', 'Pizza Di Sicilia', 'BBQ Cottage Cheese Pizza', 'Chicken Pesto Pizza', 'Chicken Tikka Pizza', 'BBQ Chicken Pizza', 'Cheese Baked Pasta', 'Veg Arrabiata Pasta', 'Veg Alfredo Pasta', 'Veg Pasta in Pesto Sauce', 'Chicken Cheese Baked Pasta', 'Chicken Pasta in Arrabiata Sauce', 'Chicken Pasta in Alfredo Sauce', 'Chicken Pasta in Pesto Sauce', 'Cottage Cheese Sandwich', 'Veg Sandwich', 'UB Club Veg Sandwich', 'Egg and Cheese Sandwich', 'Chicken Sandwich', 'UB Club Chicken Sandwich', 'Veg Mini Burger', 'Classic Veg Burger', 'BBQ Veg Burger', 'Spicy Salsa Burger', 'UB Jumbo Veg Burger', 'Mini Chicken Burger', 'Classic Chicken Burger', 'BBQ Chicken Burger', 'UB Jumbo Chicken Burger', 'Jalapeno Cheesy Bites', 'Onion Rings', 'French Fries with Mayonnaise', 'Crispy Cottage Cheese Fingers', 'Classic Bruschetta', 'Cheesy Garlic Bread', 'Potato Wedges', 'Appam', 'Egg Appam', 'Vegetable Stew with Appam', 'Chicken Stew with Appam', 'Egg and Chicken Keema Paratha', 'Gulab Jamun', 'Brownie']",Koramangala 7th Block
46,1722 Urban Bistro,"AJ Inc, 126, Ground Floor, KHB Colony, Koramangala 5th Block, Bangalore","080 43714030
+91 8151979797",Yes,Casual Dining,"North Indian, Chinese, Fast Food, Biryani",Dine-out,Yes,4.1 /5,600,[],Koramangala 6th Block
